text,tdate,key
"Mon Sep 16 09:49:54 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-69dbm). Successful (54 bytes - 6s).",2013-09-16 07:50:04,4674986002350080
"Sat Sep 21 13:18:52 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-69dbm). Successful (54 bytes - 8s).",2013-09-21 11:18:55,4675329599733760
"Thu Sep 19 12:47:16 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-73dbm). Successful (54 bytes - 14s).",2013-09-19 10:47:19,4677116306128896
"Tue Sep 17 10:06:44 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-69dbm). Successful (55 bytes - 5s).",2013-09-17 08:06:48,4677597342466048
"Tue Sep 10 09:03:46 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Successful (46 bytes - 4s).",2013-09-10 07:03:51,4677872220372992
"Wed Sep 18 05:22:00 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-73dbm). Successful (50 bytes - 4s).",2013-09-18 03:22:06,4680071243628544
"Sun Sep 22 15:04:47 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-73dbm). Successful (55 bytes - 4s).",2013-09-22 13:04:52,4682064108453888
"Fri Oct  4 09:47:30 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Successful (55 bytes - 5s).",2013-10-04 07:47:42,4684589549223936
"Sat Sep 21 08:32:45 2013
 (Rwanda).successful (1s) - GSM (2G). Registered on Home Network (-69dbm). Unsuccessful.",2013-09-21 06:32:50,4684950326476800
"Wed Oct  2 09:15:11 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Successful (54 bytes - 8s).",2013-10-02 07:15:16,4685139305037824
"Sun Sep 22 17:33:46 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Successful (55 bytes - 5s).",2013-09-22 15:33:53,4686049838104576
"Sat Sep 28 16:41:24 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Successful (54 bytes - 12s).",2013-09-28 14:41:31,4686616773787648
"Thu Sep 26 14:24:09 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-67dbm). Successful (56 bytes - 5s).",2013-09-26 12:24:17,4686771392610304
"Mon Sep 30 18:19:44 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Successful (51 bytes - 4s).",2013-09-30 16:19:51,4691117899513856
"Wed Sep 11 17:07:18 2013
 (Rwanda).successful (4s) - UMTS (3G). Registered on Home Network (-105dbm). Successful (54 bytes - 11s).",2013-09-11 15:07:24,4691478676766720
"Wed Oct  2 09:36:16 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-69dbm). Successful (55 bytes - 5s).",2013-10-02 07:36:22,4693179483815936
